Item,context_1,context1_file,context_2,context2_file,image,utterance,utterance_file,condition,question,ca,question type,list
1,Mia wollte vor dem Abendbrot zwei Dinge erledigen,mia_ab.wav,Wie weit ist sie gekommen?,wie_f.wav,banana_cake.png,Mia hat nur die Banane geschält.,mia_i1_o1_nur_pos.wav,only,,,,2
2,Fine wollte am Nachmittag zwei Dinge erledigen,fine_na.wav,Wie weit ist sie gekommen?,wie_f.wav,board_roof.png,Fine hat nur das Dach gedeckt.,fine_i2_o1_nur_pos.wav,only,Hat Fine das Brett gesägt?,0,implicit,2
3,Mia wollte am Morgen zwei Dinge erledigen,mia_mo.wav,Wie weit ist sie gekommen?,wie_f.wav,hedge_root.png,Mia hat nur die Hecke gestuzt.,mia_i3_o1_nur_pos.wav,only,Hat Mia die Hecke gestuzt?,1,explicit,2
4,Fine wollte vor dem Mittagessen zwei Dinge erledigen,fine_mi.wav,Wie weit ist sie gekommen?,wie_f.wav,tire_lawn.png,Fine hat nur das Rad geflickt.,fine_i4_o1_nur_pos.wav,only,,,,2
5,Mia wollte vor dem Abendbrot zwei Dinge erledigen,mia_ab.wav,Wie weit ist sie gekommen?,wie_f.wav,blouse_pot.png,Mia hat nur die Bluse gebügelt.,mia_i5_o1_nur_pos.wav,only,,,,2
6,Fine wollte am Nachmittag zwei Dinge erledigen,fine_na.wav,Wie weit ist sie gekommen?,wie_f.wav,can_melon.png,Fine hat nur die Dose geöffnet.,fine_i6_o1_nur_pos.wav,only,,,,2
7,Fine wollte am Morgen zwei Dinge erledigen,fine_mo.wav,Was hat sie alles geschafft?,was_f.wav,banana_cake.png,Fine hat auch die Torte geschnitten.,fine_i1_o2_auch_pos.wav,also,,,,2
8,Mia wollte vor dem Mittagessen zwei Dinge erledigen,mia_mi.wav,Was hat sie alles geschafft?,was_f.wav,board_roof.png,Mia hat auch das Brett gesägt.,mia_i2_o2_auch_pos.wav,also,,,,2
9,Fine wollte vor dem Abendbrot zwei Dinge erledigen,fine_ab.wav,Was hat sie alles geschafft?,was_f.wav,hedge_root.png,Fine hat auch die Rübe geerntet.,fine_i3_o2_auch_pos.wav,also,Hat Fine die Rübe geerntet?,1,explicit,2
10,Mia wollte am Nachmittag zwei Dinge erledigen,mia_na.wav,Was hat sie alles geschafft?,was_f.wav,tire_lawn.png,Mia hat auch das Gras gemäht.,mia_i4_o2_auch_pos.wav,also,Hat Mia das Rad geflickt?,1,implicit,2
11,Fine wollte am Morgen zwei Dinge erledigen,fine_mo.wav,Was hat sie alles geschafft?,was_f.wav,blouse_pot.png,Fine hat auch die Kanne gereinigt.,fine_i5_o2_auch_pos.wav,also,,,,2
12,Mia wollte vor dem Mittagessen zwei Dinge erledigen,mia_mi.wav,Was hat sie alles geschafft?,was_f.wav,can_melon.png,Mia hat auch die Melone geteilt.,mia_i6_o2_auch_pos.wav,also,,,,2
13,Noah wollte vor dem Abendbrot zwei Dinge erledigen,noah_ab.wav,Wie weit ist er gekommen?,wie_m.wav,banana_cake.png,Noah hat die Torte geschnitten.,noah_i1_o2_hat_pos.wav,impl,Hat Noah die Banane geschält?,-1,implicit,2
14,Leon wollte am Nachmittag zwei Dinge erledigen,leon_na.wav,Wie weit ist er gekommen?,wie_m.wav,board_roof.png,Leon hat das Brett gesägt.,leon_i2_o2_hat_pos.wav,impl,Hat Leon das Dach gedeckt?,-1,implicit,2
15,Noah wollte am Morgen zwei Dinge erledigen,noah_mo.wav,Wie weit ist er gekommen?,wie_m.wav,hedge_root.png,Noah hat die Rübe geerntet.,noah_i3_o2_hat_pos.wav,impl,,,,2
16,Leon wollte vor dem Mittagessen zwei Dinge erledigen,leon_mi.wav,Wie weit ist er gekommen?,wie_m.wav,tire_lawn.png,Leon hat das Gras gemäht.,leon_i4_o2_hat_pos.wav,impl,,,,2
17,Noah wollte vor dem Abendbrot zwei Dinge erledigen,noah_ab.wav,Wie weit ist er gekommen?,wie_m.wav,blouse_pot.png,Noah hat die Kanne gereinigt.,noah_i5_o2_hat_pos.wav,impl,,,,2
18,Leon wollte am Nachmittag zwei Dinge erledigen,leon_na.wav,Wie weit ist er gekommen?,wie_m.wav,can_melon.png,Leon hat die Melone geteilt.,leon_i6_o2_hat_pos.wav,impl,,,,2
19,Leon wollte am Morgen zwei Dinge erledigen,leon_mo.wav,Was hat er alles geschafft?,was_m.wav,banana_cake.png,Leon hat die Banane nicht geschält.,leon_i1_o1_hat_neg.wav,indi,,,,2
20,Noah wollte vor dem Mittagessen zwei Dinge erledigen,noah_mi.wav,Was hat er alles geschafft?,was_m.wav,board_roof.png,Noah hat das Dach nicht gedeckt.,noah_i2_o1_hat_neg.wav,indi,,,,2
